source_file,bytes,sha256,public_release_note
Paper2_Annotator_Manual_v1.2_final_hybrid_locked.pdf,286753,21fff8a5496e75e804b4b2d3c64b3b6ea101c987099872ad68a9d2dce38a7fdd,exact binary released under data/frozen/
P2_Targeted_Adjudicator_ReReview_Pack_v1.0.xlsx,30872,e95a5626c62ed65b0d8c7bd2d11c9c75838fe73e35c095d6387e2a716d641f96,exact binary released under data/frozen/
A1 historical workbook,252248,6131bd956fce4d01a74db56ef13d7589d727f82607c2344e7591bb7c05ba14d2,source binary recovered and hash-verified; complete analytic sheet-level CSV mirrors released under data/annotation/historical_full_csv/A1/
A2 historical workbook,263248,e8debc547a9ec2800fe7ecd1fb95b37cdf208d2071f84dd89108bdc7fa225e16,source binary recovered and hash-verified; complete analytic sheet-level CSV mirrors released under data/annotation/historical_full_csv/A2/
A3 historical workbook,271341,7cf27b94227f3829ed9cb873d247ff79d2ff3e438f7f7dc380adc3aaeb8d7f95,source binary recovered and hash-verified; complete analytic sheet-level CSV mirrors released under data/annotation/historical_full_csv/A3/
Round-1 senior adjudication workbook,328472,eb63fd76b8645660d938f902a817f6b9629665aad6d3633e545ba91d4c4c396e,source binary recovered and hash-verified; complete analytic sheet-level CSV mirrors released under data/annotation/historical_full_csv/ROUND1_ADJ/
P2_FINAL_SENIOR_ADJUDICATED_GOLD_v1.0.xlsx,249769,ccc910b7bafbfa9607e93ef2eba8605f56f7ed87460ef74892d4877c7db4de65,exact binary released under data/frozen/
P2_CPU_Baselines_v1.0.xlsx,96618,4502e71bd6d1b6d2941b0b10650caaa433d7188bf958017d2fc646d328a31163,exact binary released under data/frozen/
