target,model,n_full,n_retained,n_removed,full_macro_f1,exclusion_macro_f1,delta,exclusion_ci_low,exclusion_ci_high,full_qwk,exclusion_qwk,qwk_delta,qwk_ci_low,qwk_ci_high
T1,M3,720,691,29,0.6552635054814424,0.6672713631426299,0.012007857661187504,0.6254928372933558,0.7083463966461807,,,,,
T1,M4,720,691,29,0.7410731468360188,0.7502541611624836,0.009181014326464787,0.7179184609776118,0.7831309223213404,,,,,
T2,M3,474,454,20,0.7772006980802793,0.781583758298855,0.004383060218575707,0.7347521569943122,0.8242477733142367,,,,,
T2,M4,474,454,20,0.6093805184714276,0.6094623655913979,0.00008184711997027971,0.5587953082174327,0.6573571047138802,,,,,
T3,M3,460,440,20,0.7908046106079916,0.8020595177203567,0.011254907112365098,0.7588931232522037,0.8424746994025364,,,,,
T3,M4,460,440,20,0.5297358783975119,0.530779524924724,0.0010436465272121165,0.47702295825775565,0.5802311745786957,,,,,
T4,M3,474,454,20,0.6368708381188372,0.6480789536668121,0.011208115547974962,0.5891978223545865,0.7012853987034199,0.5965226840532464,0.6043401592139195,0.007817475160673104,0.5338939855685891,0.6693085962546343
T4,M4,474,454,20,0.3907639478630321,0.3918436799820333,0.0010797321190011977,0.35195715205336764,0.43158807290106505,0.4013673409820607,0.3937842241305386,-0.0075831168515221314,0.3239231380883043,0.4615094249341703
