target,class,gold_n,pred_n,precision,recall,primary_f1,seed_f1_range
T1,no_failure,246,290,0.524,0.618,0.567,0.567-0.597
T1,failure,474,430,0.781,0.709,0.743,0.682-0.743
T2,semantic_only,296,277,0.852,0.797,0.824,0.796-0.824
T2,grounding_involved,178,197,0.695,0.770,0.731,0.708-0.731
T3,Core_SCF,333,310,0.906,0.844,0.874,0.874-0.899
T3,OVR,127,150,0.653,0.772,0.708,0.708-0.750
T4,severity_1,66,79,0.430,0.515,0.469,0.459-0.559
T4,severity_2,196,238,0.618,0.750,0.677,0.677-0.726
T4,severity_3,212,157,0.898,0.665,0.764,0.764-0.788
