<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: P2_81_CPU_POINT_ESTIMATE_REPRODUCTION_CHECK.csv>
index,file,key,metric,frozen,rerun,abs_diff,exact_within_1e-12
37,P2_81_M1_DUAL_BLOCKED_SENSITIVITY.csv,T3,dual_blocked_m1_macro_f1,0.5185676179026293,0.5185676179026293,0.0,True
38,P2_81_M1_DUAL_BLOCKED_SENSITIVITY.csv,T3,delta,-0.2030756282481136,-0.2030756282481136,0.0,True
39,P2_81_M1_DUAL_BLOCKED_SENSITIVITY.csv,T4,standard_m1_macro_f1,0.5671753725699734,0.5671753725699734,0.0,True
40,P2_81_M1_DUAL_BLOCKED_SENSITIVITY.csv,T4,dual_blocked_m1_macro_f1,0.3803164018278424,0.3803164018278424,0.0,True
41,P2_81_M1_DUAL_BLOCKED_SENSITIVITY.csv,T4,delta,-0.186858970742131,-0.186858970742131,0.0,True
42,P2_81_SOURCE_BEARING_BC_REANALYSIS.csv,M3|T1,macro_f1_B,0.7210250540961033,0.7210250540961033,0.0,True
43,P2_81_SOURCE_BEARING_BC_REANALYSIS.csv,M3|T1,macro_f1_C,0.6561895228561896,0.6561895228561896,0.0,True
44,P2_81_SOURCE_BEARING_BC_REANALYSIS.csv,M3|T1,delta,-0.0648355312399137,-0.0648355312399137,0.0,True
45,P2_81_SOURCE_BEARING_BC_REANALYSIS.csv,M3|T2,macro_f1_B,0.7108085943906839,0.7108085943906839,0.0,True
46,P2_81_SOURCE_BEARING_BC_REANALYSIS.csv,M3|T2,macro_f1_C,0.7196911625840138,0.7196911625840138,0.0,True
47,P2_81_SOURCE_BEARING_BC_REANALYSIS.csv,M3|T2,delta,0.0088825681933298,0.0088825681933298,0.0,True
48,P2_81_SOURCE_BEARING_BC_REANALYSIS.csv,M3|T3,macro_f1_B,0.7910637310571369,0.7910637310571369,0.0,True
49,P2_81_SOURCE_BEARING_BC_REANALYSIS.csv,M3|T3,macro_f1_C,0.7662949999398597,0.7662949999398597,0.0,True
50,P2_81_SOURCE_BEARING_BC_REANALYSIS.csv,M3|T3,delta,-0.0247687311172771,-0.0247687311172771,0.0,True
51,P2_81_SOURCE_BEARING_BC_REANALYSIS.csv,M3|T4,macro_f1_B,0.6323895515688097,0.6323895515688097,0.0,True
52,P2_81_SOURCE_BEARING_BC_REANALYSIS.csv,M3|T4,macro_f1_C,0.5579526682467859,0.5579526682467859,0.0,True
53,P2_81_SOURCE_BEARING_BC_REANALYSIS.csv,M3|T4,delta,-0.0744368833220238,-0.0744368833220238,0.0,True
54,P2_81_SOURCE_BEARING_BC_REANALYSIS.csv,M4|T1,macro_f1_B,0.6352250965133599,0.6352250965133599,0.0,True
55,P2_81_SOURCE_BEARING_BC_REANALYSIS.csv,M4|T1,macro_f1_C,0.7392562719730913,0.7392562719730913,0.0,True
56,P2_81_SOURCE_BEARING_BC_REANALYSIS.csv,M4|T1,delta,0.1040311754597314,0.1040311754597314,0.0,True
57,P2_81_SOURCE_BEARING_BC_REANALYSIS.csv,M4|T2,macro_f1_B,0.4742846875982571,0.4742846875982571,0.0,True
58,P2_81_SOURCE_BEARING_BC_REANALYSIS.csv,M4|T2,macro_f1_C,0.653250773993808,0.653250773993808,0.0,True
59,P2_81_SOURCE_BEARING_BC_REANALYSIS.csv,M4|T2,delta,0.1789660863955509,0.1789660863955509,0.0,True
60,P2_81_SOURCE_BEARING_BC_REANALYSIS.csv,M4|T3,macro_f1_B,0.5360781342089753,0.5360781342089753,0.0,True
61,P2_81_SOURCE_BEARING_BC_REANALYSIS.csv,M4|T3,macro_f1_C,0.6239188111979632,0.6239188111979632,0.0,True
62,P2_81_SOURCE_BEARING_BC_REANALYSIS.csv,M4|T3,delta,0.0878406769889879,0.0878406769889879,0.0,True
63,P2_81_SOURCE_BEARING_BC_REANALYSIS.csv,M4|T4,macro_f1_B,0.2964641983275524,0.2964641983275524,0.0,True
64,P2_81_SOURCE_BEARING_BC_REANALYSIS.csv,M4|T4,macro_f1_C,0.3814321807221357,0.3814321807221357,0.0,True
65,P2_81_SOURCE_BEARING_BC_REANALYSIS.csv,M4|T4,delta,0.0849679823945833,0.0849679823945833,0.0,True
