model,target,n_cases,n_prompts,macro_f1_B,macro_f1_C,delta,ci_low,ci_high
M3,T1,480,80,0.7210250540961033,0.6561895228561896,-0.0648355312399137,-0.10428981342306522,-0.018501453797925192
M3,T2,304,80,0.7108085943906839,0.7196911625840138,0.008882568193329887,-0.03550685427398209,0.058141769351913564
M3,T3,290,80,0.7910637310571369,0.7662949999398597,-0.024768731117277176,-0.0661378640811412,0.021576736699248936
M3,T4,304,80,0.6323895515688097,0.5579526682467859,-0.0744368833220238,-0.12222752722422349,-0.031346987101511736
M4,T1,480,80,0.6352250965133599,0.7392562719730913,0.1040311754597314,0.06736703585944605,0.14135351099625376
M4,T2,304,80,0.47428468759825715,0.653250773993808,0.1789660863955509,0.12290544486406181,0.23300019681744644
M4,T3,290,80,0.5360781342089753,0.6239188111979632,0.0878406769889879,0.041200217369969254,0.13735078913101237
M4,T4,304,80,0.2964641983275524,0.3814321807221357,0.08496798239458331,0.04880502768414164,0.12048656452120954
