target,n,standard_m1_macro_f1,dual_blocked_m1_macro_f1,delta,ci_low,ci_high
T1,720,0.6138018360240582,0.5593159315931593,-0.05448590443089896,-0.08863711198844536,-0.019070888296198952
T2,474,0.6688556657817522,0.5925866236905721,-0.07626904209118002,-0.11207705193187437,-0.042693550103046464
T3,460,0.7216432461507429,0.5185676179026293,-0.20307562824811365,-0.25055183694542904,-0.15912613340767817
T4,474,0.5671753725699734,0.3803164018278424,-0.18685897074213104,-0.23682070023323687,-0.1410702682580795
