target,reference_P1_identity_macro_f1,P2_identity_minus_P1_identity,protocol_mean_macro_f1,protocol_sd_macro_f1,protocol_min_macro_f1,protocol_max_macro_f1,protocol_range_macro_f1,n_variants
T1,0.7410731468360188,-0.15076865234271009,0.6855987017862166,0.06766551726067624,0.5903044944933087,0.7410731468360188,0.15076865234271009,4
T2,0.6093805184714276,-0.007944146201722013,0.5715923067433253,0.03923691091107696,0.5352339370617727,0.6093805184714276,0.07414658140965491,4
T3,0.5297358783975119,-0.016345007972695558,0.36979966360227207,0.1753740107429421,0.21635434412265758,0.5297358783975119,0.3133815342748543,4
T4,0.3907639478630321,0.008406945466075011,0.33331207213202424,0.08751804035841455,0.21627628281947922,0.41349052540913006,0.19721424258965084,6
